truth_label,match_type,candidate_category,candidate_stage,confidence,a_document,a_page,b_document,b_page,a_text_source,b_text_source,review_bucket,visibility,a_openai_ocr_selected,b_openai_ocr_selected,a_tesseract_usable,b_tesseract_usable,sim_group,sim_precision_score,sim_base_confidence,sim_ocr_penalty_total,sim_tesseract_bonus_total,sim_same_document_bonus,sim_a_ocr,sim_b_ocr,sim_a_tess,sim_b_tess,sim_same_doc,sim_decision
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_001.pdf,1,ere_records/ere_record_026.pdf,1,native,native,possible_duplicate,secondary_review,False,False,False,False,unlabeled,0.94,0.94,0.0,0.0,0.0,False,False,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_001.pdf,1,received_records/received_batch_012.pdf,1,native,native,possible_duplicate,secondary_review,False,False,False,False,unlabeled,0.94,0.94,0.0,0.0,0.0,False,False,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,1,received_records/received_batch_022.pdf,1,native,native,possible_duplicate,secondary_review,False,False,False,False,unlabeled,0.94,0.94,0.0,0.0,0.0,False,False,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,1,ere_records/ere_record_004.pdf,1,native,native,possible_duplicate,secondary_review,False,False,False,False,unlabeled,0.94,0.94,0.0,0.0,0.0,False,False,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,3,ere_records/ere_record_028.pdf,8,native,native,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,3,ere_records/ere_record_007.pdf,4,native,ocr,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,3,received_records/received_batch_010.pdf,6,native,native,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,3,received_records/received_batch_014.pdf,2,native,ocr,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,3,ere_records/ere_record_012.pdf,4,native,ocr,possible_duplicate,secondary_review,False,True,True,False,unlabeled,0.91,0.94,0.05,0.02,0.0,False,True,True,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,5,ere_records/ere_record_028.pdf,8,native,native,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,5,received_records/received_batch_016.pdf,6,native,ocr,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,5,received_records/received_batch_010.pdf,6,native,native,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,ere_records/ere_record_003.pdf,5,received_records/received_batch_029.pdf,6,native,ocr,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
