truth_label,match_type,candidate_category,candidate_stage,confidence,a_document,a_page,b_document,b_page,a_text_source,b_text_source,review_bucket,visibility,a_openai_ocr_selected,b_openai_ocr_selected,a_tesseract_usable,b_tesseract_usable,sim_group,sim_precision_score,sim_base_confidence,sim_ocr_penalty_total,sim_tesseract_bonus_total,sim_same_document_bonus,sim_a_ocr,sim_b_ocr,sim_a_tess,sim_b_tess,sim_same_doc,sim_decision
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0004_excerpt.pdf,1,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0015_full.pdf,2,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.93,0.94,0.04,0.0,0.03,True,True,False,False,True,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0011_excerpt.pdf,1,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,3,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_C_scanned_mail/intake_batch_006.pdf,2,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0004_excerpt.pdf,2,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,3,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,6,ocr,ocr,possible_duplicate,secondary_review,False,False,True,True,unlabeled,0.98,0.94,0.0,0.04,0.0,False,False,True,True,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_C_scanned_mail/intake_batch_006.pdf,2,ocr,ocr,possible_duplicate,secondary_review,True,True,False,False,unlabeled,0.9,0.94,0.04,0.0,0.0,True,True,False,False,False,keep
unlabeled,embedding_similarity_candidate,semantic_recall,vector_recall,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,ocr,ocr,possible_duplicate,secondary_review,True,False,False,True,unlabeled,0.97,0.94,0.02,0.02,0.03,True,False,False,True,True,keep
