page_id,document_name,page_number,source_group,record_type,case_id,duplicate_cluster_id,text_availability,ocr_difficulty,visual_quality,is_low_information_page,hard_negative_trap_type
v2_case_001_doc_received_p001,received_records_001.pdf,1,received_records,visit_note,case_001,cluster_001_exact_rendered,native_text,none,clean,False,
v2_case_001_doc_received_p002,received_records_001.pdf,2,received_records,visit_note,case_001,cluster_001_exact_rendered,native_text,none,clean,False,
v2_case_001_doc_email_p001,email_attachments_001.pdf,1,email_records,visit_note,case_001,cluster_001_exact_rendered,native_text,none,clean,False,
v2_case_002_received_format_a,received_records_001.pdf,3,received_records,visit_note,case_002,cluster_002_same_text_format,native_text,none,clean,False,
v2_case_002_ere_format_b,ere_batch_001.pdf,1,ere_records,visit_note,case_002,cluster_002_same_text_format,native_text,none,clean,False,
v2_case_002_email_format_c,email_attachments_001.pdf,2,email_records,visit_note,case_002,cluster_002_same_text_format,native_text,none,clean,False,
v2_case_003_email_clean,email_attachments_001.pdf,3,email_records,imaging_report,case_003,cluster_003_fax_degraded,native_text,none,clean,False,
v2_case_003_fax_degraded,fax_records_001.pdf,1,fax_records,imaging_report,case_003,cluster_003_fax_degraded,image_only,medium,fax_degraded,False,
v2_case_004_received_native,received_records_001.pdf,4,received_records,patient_instruction_page,case_004,cluster_004_ocr_only,native_text,none,clean,False,
v2_case_004_claimant_scan_easy,claimant_upload_camera_001.pdf,1,claimant_uploads,patient_instruction_page,case_004,cluster_004_ocr_only,image_only,easy,clean_scan,False,
v2_case_005_provider_clean,received_records_001.pdf,5,received_records,insurance_authorization,case_005,cluster_005_camera_crop,native_text,none,clean,False,
v2_case_005_claimant_camera,claimant_upload_camera_001.pdf,2,claimant_uploads,insurance_authorization,case_005,cluster_005_camera_crop,image_only,hard,camera_shadow_crop,False,
v2_case_006_same_template_visit_01,received_records_002.pdf,1,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_02,received_records_002.pdf,2,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_03,received_records_002.pdf,3,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_04,received_records_002.pdf,4,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_05,received_records_002.pdf,5,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_06,received_records_002.pdf,6,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_07,received_records_002.pdf,7,received_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_08,ere_batch_002.pdf,1,ere_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_09,ere_batch_002.pdf,2,ere_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_10,ere_batch_002.pdf,3,ere_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_11,ere_batch_002.pdf,4,ere_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_006_same_template_visit_12,ere_batch_002.pdf,5,ere_records,visit_note,case_006,,native_text,none,clean,False,same_template_different_visit
v2_case_007_same_dx_diff_record_01,received_records_002.pdf,8,received_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_02,ere_batch_002.pdf,6,ere_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_03,email_duplicate_attachments_002.pdf,1,email_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_04,received_records_002.pdf,9,received_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_05,ere_batch_002.pdf,7,ere_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_06,email_duplicate_attachments_002.pdf,2,email_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_07,received_records_002.pdf,10,received_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_08,ere_batch_002.pdf,8,ere_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_09,email_duplicate_attachments_002.pdf,3,email_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_10,received_records_002.pdf,11,received_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_11,ere_batch_002.pdf,9,ere_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
