rank,truth_label,truth_kind,match_type,candidate_stage,candidate_category,review_bucket,visibility,confidence,a_document,a_page,b_document,b_page,a_text_source,b_text_source,a_best_word_count,b_best_word_count,a_ocr_route,b_ocr_route,a_tesseract_attempted,b_tesseract_attempted,a_tesseract_usable,b_tesseract_usable,a_openai_ocr_selected,b_openai_ocr_selected,a_low_information,b_low_information,signals,deterministic_passes,diag_group,diag_emb_score,diag_has_supporting_evidence,diag_has_det_pass_matched,diag_has_non_embedding_signal,diag_has_key_token_signal,diag_key_token_score,diag_has_rare_token_signal,diag_rare_token_score,diag_has_perceptual_support,diag_perceptual_score,diag_has_sequence_signal,diag_sequence_score,diag_same_document,diag_a_best_word_count,diag_b_best_word_count,diag_min_word_count,diag_combined_word_count,diag_matched_passes,diag_non_embedding_signal_names
1093,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_001.pdf,1,ere_records/ere_record_026.pdf,1,native,native,50,50,native_only,native_only,False,False,False,False,False,False,False,False,embedding_similarity=0.9771,,unlabeled,0.9771,False,False,False,False,,False,,False,,False,,False,50,50,50,100,,
1094,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_001.pdf,1,received_records/received_batch_012.pdf,1,native,native,50,47,native_only,native_only,False,False,False,False,False,False,False,False,embedding_similarity=0.9613,,unlabeled,0.9613,False,False,False,False,,False,,False,,False,,False,50,47,47,97,,
1095,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,1,received_records/received_batch_022.pdf,1,native,native,40,40,native_only,native_only,False,False,False,False,False,False,False,False,embedding_similarity=0.9498,,unlabeled,0.9498,False,False,False,False,,False,,False,,False,,False,40,40,40,80,,
1096,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,1,ere_records/ere_record_004.pdf,1,native,native,40,40,native_only,native_only,False,False,False,False,False,False,False,False,embedding_similarity=0.9492,,unlabeled,0.9492,False,False,False,False,,False,,False,,False,,False,40,40,40,80,,
1097,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,3,ere_records/ere_record_028.pdf,8,native,native,31,38,tesseract_weak,tesseract_weak,True,True,True,True,False,False,False,False,embedding_similarity=0.9597,,unlabeled,0.9597,False,False,False,False,,False,,False,,False,,False,31,38,31,69,,
1098,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,3,ere_records/ere_record_007.pdf,4,native,ocr,31,33,tesseract_weak,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9520,,unlabeled,0.952,False,False,False,False,,False,,False,,False,,False,31,33,31,64,,
1099,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,3,received_records/received_batch_010.pdf,6,native,native,31,38,tesseract_weak,tesseract_weak,True,True,True,True,False,False,False,False,embedding_similarity=0.9479,,unlabeled,0.9479,False,False,False,False,,False,,False,,False,,False,31,38,31,69,,
1100,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,3,received_records/received_batch_014.pdf,2,native,ocr,31,31,tesseract_weak,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9456,,unlabeled,0.9456,False,False,False,False,,False,,False,,False,,False,31,31,31,62,,
1101,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,3,ere_records/ere_record_012.pdf,4,native,ocr,31,52,tesseract_weak,openai_ocr_fallback,True,True,True,False,False,True,False,False,embedding_similarity=0.9427,,unlabeled,0.9427,False,False,False,False,,False,,False,,False,,False,31,52,31,83,,
1102,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,ere_records/ere_record_003.pdf,5,ere_records/ere_record_028.pdf,8,native,native,34,38,tesseract_weak,tesseract_weak,True,True,True,True,False,False,False,False,embedding_similarity=0.9631,,unlabeled,0.9631,False,False,False,False,,False,,False,,False,,False,34,38,34,72,,
